101,vfvGBKqrjD,wvpwXESFSnlKibzcuogdkTQdIYmzSbxNeMowBLtWLjdMPIKxCb,463.84,33
102,jwBTcVqFsN,KBZhNbeyAHKraqyBiqoqHYdqQMXcuzMcenfwYKYwAoYiXCegFU,33.07,577
103,QuljdXXKOt,EgMKPsUhkvpNhOPqgUfIrdvPFLeUzNufIrpcdiaXGLYfTAPsOW,420.99,361
104,aZxQKZkeXR,CKCeYZjTDyizaHFkygvJDxHBXwIYSkoMiHtaZmKvAVdDgytsnQ,791.32,778
105,kGVfZuZWQc,IgertQPQtiJmgfxlzQOGXKUAKEAjQJqEEcHsdKTMogLhPZFqPI,887.25,911
106,IDVgwIvdJs,bTTIJFmLItxOynjhOryDxRvktPvUwtlGAUnTrfriCoIDvKMoEZ,924.93,244
107,hZhshvQmHo,TesepoIoXHjqSskaNjqjsZMEYfClArIPpsPkfWnVqVaAINQtGX,457.68,975
108,lQTkUHzxIj,FMUhQbFBnDyhNPiEklKBMgACpxNiyCDwixjdmldEUxGdmOdtrL,369.2,366
109,UvcKgDrtLS,qoDoTupnesAjIXKQeccvwAQgjSPUJVtPnGASTehGUbBYmgoJuw,488.11,847
110,IXAdwbdIot,rdQlTQJqghiXkCUwEnPZOuucHHvZfucgvsUPvLWzzgGeFBRtQU,854.26,9
111,weMHSkOUoF,jpXDMGqZxWfDfNCavWKANHxECVKUphZZIJhHKvPXpCVjxQcQLz,533.33,670
112,JMyXqwcBeE,OZITOdOfRqsSHIVLyrFTfyknfxWnlEYiQgzUDTrCdnnUNVRSgb,888.68,804
113,xWabKMHtKw,lIWpcCdnTXTRiwlxjEzQEjotlVcFheCEthTkRfpjHofjIlBSCu,728.73,256
114,MmcxUWbchP,ZkmXXEHKoaUoRkAHJYDsLXgDrXovqkhaNfdoPQVqLXmVylbliQ,23.38,545
115,BVMTmxeEcz,fXnvijTfMMmkVrmQdPswjDTcQCohBrdVlXNLGWFlxFgNIMnllV,19.12,671
116,yYWpntWpbL,MtCUCDQRjZlBgOeTFVRrIZUlObietDqBOmwexsYISNFPkYQtwu,944.39,711
117,RnsfvKtWVE,NtsyZGucCjWWWcVZOHimqgDZSdtVpEDJDfLuaqMutHwMWsOJzW,415.1,271
118,NYuouSkBWg,jvpkOSIqoIjlBZHgUwHlxrwRSpSnpqtIQgkRHGZNSVLGTNkkEQ,691.33,304
